priority,content_type,decision,action_status,current_path,target_path,current_url,target_url,clicks,impressions,avg_position,seo_signal,notes
P0,Página,MANTENER,create_or_migrate,/,/,https://musicartes.org/,https://musicartes.org/,423,5779,6,🟢 Alta - 423 clicks,"Homepage principal. CTR excelente (7.3%). Mantener estructura, revisar propuesta de valor para socios y músicos."
P0,Página,MANTENER,create_or_migrate,/hazte-socio/,/hazte-socio/,https://musicartes.org/hazte-socio/,https://musicartes.org/hazte-socio/,40,847,2.5,🟢 Alta - transaccional,Página de conversión clave. 40 clicks con CTR 4.7% y pos 2.5. Muy relevante para la misión. Revisar copy y CTA.
P0,Página,MANTENER,create_or_migrate,/socios-activos/,/socios-activos/,https://musicartes.org/socios-activos/,https://musicartes.org/socios-activos/,40,834,11.4,🟡 Media - mejorar posición,40 clicks pero posición 11.4 - hay búsquedas de músicos socios. Mejorar contenido y estructura interna.
P0,Página,MANTENER,create_or_migrate,/contacto/,/contacto/,https://musicartes.org/contacto/,https://musicartes.org/contacto/,49,843,1.9,🟢 Alta - top 2,"49 clicks, pos 1.9 (casi top 2). Página funcional esencial."
P0,Página,REESCRIBIR,rewrite,/preguntas-frecuentes-faq/,/preguntas-frecuentes-faq/,https://musicartes.org/preguntas-frecuentes-faq/,https://musicartes.org/preguntas-frecuentes-faq/,26,2040,4.4,🟡 Media - mucho potencial,"26 clicks, 2040 imp, pos 4.4. Potencial sin explotar. Ampliar con schema FAQ, más preguntas de músicos reales."
P0,Página,REESCRIBIR,rewrite,/nosotros/,/nosotros/,https://musicartes.org/nosotros/,https://musicartes.org/nosotros/,13,1084,3.2,🟡 Media - pos buena,"13 clicks, pos 3.2. Buen posicionamiento pero pocas impresiones. Optimizar con palabras clave institucionales."
P2,Página,MANTENER,create_or_migrate,/zona-de-socios/,/zona-de-socios/,https://musicartes.org/zona-de-socios/,https://musicartes.org/zona-de-socios/,9,753,2,🟢 Funcional - privada,"Área privada de socios. 9 clicks, pos 2.0. Funcional y necesaria. No indexable públicamente."
P2,Página,MANTENER,create_or_migrate,/recursos-legales/,/recursos-legales/,https://musicartes.org/recursos-legales/,https://musicartes.org/recursos-legales/,6,738,4.1,🟡 Media,"6 clicks, pos 4.1. Recurso único y relevante para músicos. Mantener y vincular desde blog."
P0,Página,MANTENER,create_or_migrate,/obras-no-declaradas/,/obras-no-declaradas/,https://musicartes.org/obras-no-declaradas/,https://musicartes.org/obras-no-declaradas/,34,1920,10.4,🟡 Media - funcional socios,"34 clicks, 1920 imp, pos 10.4. Funcional para socios. Importante para gestión de obras."
P2,Página,MANTENER,create_or_migrate,/reglamento-distribucion/,/reglamento-distribucion/,https://musicartes.org/reglamento-distribucion/,https://musicartes.org/reglamento-distribucion/,2,86,5.4,⚪ Baja - institucional,2 clicks. Documento institucional necesario. Mantener como referencia.
P2,Página,MANTENER,create_or_migrate,/acuerdos-internacionales/,/acuerdos-internacionales/,https://musicartes.org/acuerdos-internacionales/,https://musicartes.org/acuerdos-internacionales/,0,14,3.7,⚪ Muy baja,"0 clicks, 14 imp. Página informativa institucional. Mantener pero no priorizar."
